Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance,Ground Clearance (range),Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
Daihatsu,rocky g premium hev,2025,Hybrid,suv,5,,,14595000.0,14800000.0,,
Daihatsu,rocky g premium hev,2023,Hybrid,suv,5,,,14595000.0,14800000.0,,
Daihatsu,rocky highest option,2023,Petrol,suv,5,,,12950000.0,12950000.0,,
Daihatsu,taft,2025,Petrol,suv,5,,,9150000.0,,,
Daihatsu,taft,2024,Petrol,suv,5,,,9150000.0,,,
Daihatsu,taft,2023,Petrol,suv,5,,,9150000.0,,,
Daihatsu,taft dark chrome venture,2024,Petrol,suv,5,,,8850000.0,,,
Daihatsu,taft dark chrome venture,2023,Petrol,suv,5,,,9125000.0,,,
Daihatsu,taft g,2025,Petrol,suv,5,,,8812500.0,,,
Daihatsu,taft g,2024,Petrol,suv,5,,,8812500.0,,,
Daihatsu,taft g,2023,Petrol,suv,5,,,8812500.0,,,
Daihatsu,taft g chrome,2025,Petrol,suv,5,,,9091000.0,,,
Daihatsu,taft g chrome,2024,Petrol,suv,5,,,9091000.0,,,
Daihatsu,taft g chrome,2023,Petrol,suv,5,,,9091000.0,,,
Daihatsu,taft g chrome adventure,2025,Petrol,suv,5,,,9550000.0,,,
Daihatsu,taft g chrome venture,2025,Petrol,suv,5,,,8905000.0,,,
Daihatsu,taft g chrome venture,2024,Petrol,suv,5,,,8905000.0,,,
Daihatsu,taft g chrome venture,2023,Petrol,suv,5,,,8905000.0,,,
Daihatsu,taft g dark,2023,Petrol,suv,5,,,9500000.0,,,
Daihatsu,taft g dark chrome,2025,Petrol,suv,5,,,9233333.0,,,
Daihatsu,taft g dark chrome,2024,Petrol,suv,5,,,9550000.0,8995000.0,,
Daihatsu,taft g dark chrome,2023,Petrol,suv,5,,,9550000.0,8995000.0,,
Daihatsu,taft g dark chrome venture,2025,Petrol,suv,5,,,9250000.0,,,
Daihatsu,taft g dark chrome venture,2024,Petrol,suv,5,,,9350000.0,,,
Daihatsu,taft g dark venture,2025,Petrol,suv,5,,,9775000.0,,,
Daihatsu,taft g garde,2023,Petrol,suv,5,,,8500000.0,,,
Daihatsu,taft g grade,2025,Petrol,suv,5,,,8675000.0,,,
Daihatsu,taft g grade,2024,Petrol,suv,5,,,9100000.0,,,
Daihatsu,taft g grade,2023,Petrol,suv,5,,,8675000.0,,,
Daihatsu,taft g venture,2024,Petrol,suv,5,,,9200000.0,,,
Daihatsu,taft moon roof,2023,Petrol,suv,5,,,9350000.0,,,
Daihatsu,taft sun roof,2024,Petrol,suv,5,,,8800000.0,,,
Daihatsu,taft sun roof,2023,Petrol,suv,5,,,8900000.0,,,
Daihatsu,taft x,2024,Petrol,suv,5,,,8850000.0,,,
Daihatsu,taft x,2023,Hybrid,suv,5,,,8750000.0,,,
