Manufacturer,Model,Year,Fuel Type,Body Type,Seating Capacity,Ground Clearance (range),Body Type 1 (sedan),Body Type 2 (hatchback),Body Type 3 (suv),Body Type 4 (mpv),Body Type 5 (pickup),Body Type 6 (coupe),Body Type 7 (convertible),Body Type 8 (wagon),Body Type 9 (van),Body Type 10 (crossover),Body Type 11 (kei / microvan),Body Type 12 (roadster),Body Type 13 (other),Body Type 14 (liftback),Body Type 15 (mpv / minivan),City/Urban,Suburban/Normal,Mid Off-Road,Off-Road/Hilly Terrain,Average Price (0-20k km),Average Price (20k-50k km),Average Price (50k-100k km),Average Price (100k+ km)
BMW,740le,2018,Hybrid,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,48000000.0,
BMW,740le g-12,2017,Hybrid,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,40000000.0,
BMW,740le m-sport,2016,Petrol,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,48500000.0,
BMW,740le m-sport,2017,Hybrid,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,43500000.0,43500000.0,
BMW,740le m-sport,2018,Petrol,sedan,,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,52500000.0,
BMW,740li,2011,Petrol,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,22500000.0,
BMW,740li m-sport,2016,Petrol,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,51000000.0,
BMW,active 7,2013,Hybrid,sedan,5,144,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,29500000.0,
BMW,i3,2013,Electric,hatchback,4,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,8416667.0,7500000.0,
BMW,i3,2014,Electric,hatchback,4,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,8416667.0,7500000.0,
BMW,i3,2015,Electric,hatchback,4,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,8416667.0,7500000.0,
BMW,i3,2017,Electric,hatchback,4,140,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,8416667.0,7500000.0,
